"experiment_group","UserType","k_converted","group_size","sign_conversion"
"30_discount",Company,888.0,19537,0.04545221886676562420
"30_discount",Private,6254.0,230946,0.02707992344530756107
"30_discount",Shop,343.0,3180,0.10786163522012578616
"30_discount",,7485.0,253663,0.02950765385570619286
"60_discount",Company,910.0,19380,0.04695562435500515996
"60_discount",Private,7018.0,230838,0.03040227345584349197
"60_discount",Shop,382.0,3223,0.11852311511014582687
"60_discount",,8310.0,253441,0.03278869638298459997
no_discount,Company,753.0,19833,0.03796702465587656935
no_discount,Private,5785.0,232506,0.02488107833776332654
no_discount,Shop,325.0,3287,0.09887435351384240949
no_discount,,6863.0,255626,0.02684781673225728212
