"item_creation_time","experiment_group","k_active_users"
2021-09-15,"30_discount",389
2021-09-15,"60_discount",394
2021-09-15,no_discount,402
2021-09-16,"30_discount",362
2021-09-16,"60_discount",378
2021-09-16,no_discount,401
2021-09-17,"30_discount",318
2021-09-17,"60_discount",337
2021-09-17,no_discount,320
2021-09-18,"30_discount",253
2021-09-18,"60_discount",276
2021-09-18,no_discount,275
2021-09-19,"30_discount",290
2021-09-19,"60_discount",326
2021-09-19,no_discount,295
2021-09-20,"30_discount",385
2021-09-20,"60_discount",396
2021-09-20,no_discount,388
2021-09-21,"30_discount",358
2021-09-21,"60_discount",387
2021-09-21,no_discount,372
2021-09-22,"30_discount",406
2021-09-22,"60_discount",407
2021-09-22,no_discount,404
2021-09-23,"30_discount",380
2021-09-23,"60_discount",377
2021-09-23,no_discount,378
2021-09-24,"30_discount",353
2021-09-24,"60_discount",362
2021-09-24,no_discount,338
2021-09-25,"30_discount",282
2021-09-25,"60_discount",288
2021-09-25,no_discount,305
2021-09-26,"30_discount",315
2021-09-26,"60_discount",315
2021-09-26,no_discount,391
2021-09-27,"30_discount",393
2021-09-27,"60_discount",375
2021-09-27,no_discount,399
2021-09-28,"30_discount",385
2021-09-28,"60_discount",441
2021-09-28,no_discount,394
2021-09-29,"30_discount",421
2021-09-29,"60_discount",413
2021-09-29,no_discount,387
2021-09-30,"30_discount",392
2021-09-30,"60_discount",417
2021-09-30,no_discount,390
2021-10-01,"30_discount",377
2021-10-01,"60_discount",362
2021-10-01,no_discount,351
2021-10-02,"30_discount",347
2021-10-02,"60_discount",329
2021-10-02,no_discount,328
2021-10-03,"30_discount",340
2021-10-03,"60_discount",372
2021-10-03,no_discount,334
2021-10-04,"30_discount",431
2021-10-04,"60_discount",451
2021-10-04,no_discount,438
2021-10-05,"30_discount",404
2021-10-05,"60_discount",460
2021-10-05,no_discount,449
2021-10-06,"30_discount",406
2021-10-06,"60_discount",448
2021-10-06,no_discount,438
2021-10-07,"30_discount",419
2021-10-07,"60_discount",418
2021-10-07,no_discount,397
2021-10-08,"30_discount",366
2021-10-08,"60_discount",418
2021-10-08,no_discount,403
2021-10-09,"30_discount",324
2021-10-09,"60_discount",324
