"item_region","items_count"
"1",13455
"10",8013
"11",18003
"12",153
"13",5197
"14",11055
"15",27904
"16",2829
"17",7215
"18",20272
"19",17565
"2",248
"20",7466
"21",19469
"22",7223
"23",4864
"24",3664
"25",39063
"26",42183
"27",3859
"28",76411
"29",2587
"3",1800
"30",3777
"31",76836
"32",6573
"33",13516
"34",181
"35",7028
"36",7929
"37",5662
"38",690
"39",61622
"4",10111
"40",13921
"41",17942
"42",12130
"43",734
"44",3242
"45",6759
"46",13983
"47",2462
"48",11672
"49",28396
"5",6361
"50",8920
"51",2255
"52",6587
"53",9478
"54",4055
"55",11713
"56",11536
"57",7085
"58",3983
"59",4952
"6",3254
"60",1418
"61",638
"62",25669
"63",6845
"64",6720
"65",3781
"66",50
"67",9705
"68",857
"69",9318
"7",11594
"70",5059
"71",11233
"72",39
"73",6053
"74",3964
"75",109071
"76",803
"77",2
"78",8551
"79",19142
"8",2736
"80",5347
"81",18102
"82",26094
"83",3999
"84",310
"85",4148
"9",27165
