iter	AUC	Logloss
0	0.8102203877	0.6745566498
1	0.8190744078	0.6577184619
2	0.8252546311	0.6419525099
3	0.8319033741	0.6257918586
4	0.833794098	0.6122586016
5	0.8351412104	0.6018255662
6	0.8353644051	0.5897403125
7	0.8344190431	0.5793032302
8	0.8355198848	0.5682681734
9	0.8364994825	0.5571485074
10	0.8366693374	0.547243997
11	0.8370253141	0.5388651712
12	0.8391363954	0.5301188749
13	0.8413838525	0.521878032
14	0.8425145795	0.5139247725
15	0.8431720581	0.5072186608
16	0.8431342285	0.501612376
17	0.8425081485	0.4972707411
18	0.8434001707	0.4915838544
19	0.8441641396	0.486546239
20	0.8446544114	0.4818282385
21	0.845198212	0.4778967311
22	0.844853206	0.4747109099
23	0.8455950446	0.4700610941
24	0.8462506318	0.4682571647
25	0.8468823862	0.4646472842
26	0.8476181721	0.4609417535
27	0.8481506239	0.4573265251
28	0.8487587349	0.4542993775
29	0.8492456019	0.451612829
30	0.8496299508	0.448880104
31	0.850660051	0.4460428676
32	0.8510962264	0.4435809481
33	0.8510576402	0.4420593502
34	0.851337201	0.4400361367
35	0.8516508085	0.4384298913
36	0.8520958738	0.4362854885
37	0.8521015483	0.4347831991
38	0.8526701273	0.432854774
39	0.8528797034	0.4313346271
40	0.8532657545	0.4300080319
41	0.853352006	0.4284602296
42	0.8538999679	0.4268688009
43	0.8540877919	0.4254597422
44	0.8541184339	0.4243497804
45	0.8545508263	0.4231012053
46	0.8550454485	0.4216745876
47	0.8556225392	0.4203315384
48	0.8557710204	0.4194415499
49	0.8559694367	0.4184429503
50	0.8561442095	0.4174865781
51	0.8563356273	0.4166674762
52	0.8566314549	0.4158161036
53	0.8566004346	0.4154524957
54	0.8570812489	0.4144200376
55	0.8570313138	0.4138562605
56	0.8574879172	0.4128739223
57	0.8578923157	0.4121273677
58	0.8581556098	0.4112187555
59	0.8585590626	0.4103231874
60	0.8587083004	0.4098798831
61	0.8591043764	0.4091205862
62	0.8596177242	0.4082428218
63	0.85979628	0.4076573735
64	0.8604004188	0.4066595766
65	0.8606300446	0.4060022099
66	0.8608691277	0.4053979003
67	0.8610497641	0.4048158486
68	0.8613781251	0.404169695
69	0.8616762224	0.4035741063
70	0.861738263	0.4033454569
71	0.8618498603	0.4029465599
72	0.8620166889	0.4024232531
73	0.8624328146	0.4017913993
74	0.8626011564	0.4013198874
75	0.8627483136	0.4010501397
76	0.8632192922	0.4003004579
77	0.8632934382	0.4000885791
78	0.8637674432	0.3993496204
79	0.8638714747	0.3989981249
80	0.8640498413	0.3985821298
81	0.864637146	0.3978452869
82	0.8649499968	0.397376416
83	0.8649288122	0.397332886
84	0.8650143072	0.397225713
85	0.8654224886	0.3966648126
86	0.8657438512	0.3961113206
87	0.8661240387	0.3954965724
88	0.8660865874	0.3953748609
89	0.8664599657	0.3949428561
90	0.8666521401	0.394563499
91	0.8669112729	0.3941961284
92	0.8671968865	0.3937233945
93	0.8674057059	0.3934711122
94	0.8676133905	0.3931466835
95	0.8677817322	0.3928608727
96	0.8680247875	0.3925020499
97	0.8681541647	0.3922983464
98	0.8684484791	0.3919034179
99	0.8685939339	0.3916488123
100	0.8686230627	0.3915780255
101	0.8688655505	0.391269782
102	0.8688920313	0.3911003439
103	0.8689684471	0.3909906634
104	0.8690259481	0.3908654081
105	0.8691390586	0.3906061064
106	0.8692434683	0.3904365276
107	0.869335016	0.3902996495
108	0.8695048709	0.3900537411
109	0.8696440839	0.389865119
110	0.8699626092	0.3894636402
111	0.8699705534	0.3894197574
112	0.8699705534	0.3894192001
113	0.8700004388	0.389255285
114	0.8705701527	0.3884786997
115	0.8706999083	0.3882446982
116	0.8708156669	0.3879685064
117	0.8708905695	0.387806908
118	0.8709991405	0.3875546784
119	0.8710835005	0.3873601451
120	0.8712597865	0.3871455963
121	0.8713657094	0.3869270764
122	0.8716301384	0.3866658765
123	0.8717776739	0.3863406048
124	0.8718503067	0.3861881688
125	0.8719469614	0.3860606175
126	0.8721395141	0.3858411479
127	0.8721883143	0.3857502811
128	0.8722443021	0.3856506456
129	0.8722420323	0.3856046565
130	0.8723267707	0.385465215
131	0.872351549	0.3853509328
132	0.8724260734	0.3852126372
133	0.8724623898	0.3851166853
134	0.8728020997	0.3847188965
135	0.872934125	0.3845558102
136	0.8730218897	0.3844068556
137	0.8730317254	0.3843823083
138	0.8731215707	0.3842188969
139	0.8731643182	0.384165913
140	0.8731824764	0.3840448185
141	0.8734302604	0.3837321881
142	0.8735431817	0.38361545
143	0.8737092537	0.3833270047
144	0.8737122801	0.3833253543
145	0.8739071026	0.3831072446
146	0.8739644144	0.382982133
147	0.8739988394	0.3829351951
148	0.8742863444	0.3825540231
149	0.8744073992	0.3823260039
150	0.8743975635	0.3823184269
151	0.8745640138	0.3821489414
152	0.8747002003	0.3819802494
153	0.8747333013	0.3819360642
154	0.8748963469	0.3817505795
155	0.8751176501	0.3815029377
156	0.8753011237	0.3813003112
157	0.8753249563	0.3812241318
158	0.8754081815	0.3810967863
159	0.8755182656	0.3809375767
160	0.8755182656	0.3809375628
161	0.8756098133	0.3808009387
162	0.8756264583	0.3807736473
163	0.8757872342	0.3805697733
164	0.8757758853	0.3805213348
165	0.8759003447	0.3802856885
166	0.8760531763	0.380074567
167	0.8760796571	0.380064614
168	0.8761250526	0.3799985063
169	0.876266157	0.3798081516
170	0.8764163406	0.3796285389
171	0.8764793269	0.3795086699
172	0.8765222635	0.3794262779
173	0.8765275596	0.3793953928
174	0.876618729	0.379280632
175	0.8767416752	0.3790886695
176	0.8769013162	0.378871881
177	0.877367377	0.3783527537
178	0.8774782177	0.378218532
179	0.8775727917	0.3781102506
180	0.8777256234	0.3779305246
181	0.8777301629	0.3779169891
182	0.8777331893	0.3779064432
183	0.8778773201	0.3777419434
184	0.8778773201	0.3777419143
185	0.8781962237	0.3773986648
186	0.8782942024	0.3772070019
187	0.8782942024	0.3772069599
188	0.8784334153	0.3770025831
189	0.8786248332	0.3767803878
190	0.8787924183	0.3765795385
191	0.8788344092	0.3764584145
192	0.8789815664	0.3762762978
193	0.8790553341	0.3761771946
194	0.879092218	0.3761083939
195	0.8791285344	0.376057247
196	0.8791054584	0.3760312946
197	0.8791058367	0.3760298737
198	0.8791690121	0.3758737986
199	0.8791633377	0.3758680377
200	0.8793763184	0.3756402673
201	0.8793861541	0.3756294852
202	0.879582868	0.3754426726
203	0.8796910607	0.3753032364
204	0.8797504532	0.3752395051
205	0.8798476753	0.3750794422
206	0.8799165252	0.3749856864
207	0.8800349319	0.374819955
208	0.8802827158	0.3745643493
209	0.8803190322	0.3744799299
210	0.8803988527	0.3743428884
211	0.8805365525	0.3741498093
212	0.8806269652	0.3740336921
213	0.8808032512	0.3738001941
214	0.8808516731	0.3737636766
215	0.8809462472	0.3736627508
216	0.8810033699	0.3735643108
217	0.8810343901	0.3735065733
218	0.8812848222	0.3732540251
219	0.8812848222	0.3732539803
220	0.881377883	0.3731140578
221	0.8815144479	0.3729376301
222	0.8816502562	0.3727827212
223	0.8816510128	0.3727805629
224	0.8816930036	0.3726905631
225	0.8817149448	0.3726342316
226	0.8819248991	0.3723625431
227	0.8819876963	0.3722989448
228	0.882274823	0.3719925461
229	0.8823168139	0.3719336068
230	0.8823588048	0.3718809236
231	0.8824465695	0.3717440266
232	0.8824499741	0.3717432035
233	0.88250861	0.3716450937
234	0.8827374792	0.3713780552
235	0.8828233524	0.3712698082
236	0.8829512164	0.3710705572
237	0.8829610521	0.3710648973
238	0.8830964821	0.3709181448
239	0.8831206931	0.3708930886
240	0.8832258594	0.3708008577
241	0.8832296424	0.3707876304
242	0.8835432498	0.3703699312
243	0.8835379537	0.3703578072
244	0.8836851109	0.3700990186
245	0.8838073005	0.3698947793
246	0.8841265824	0.3695261443
247	0.8841859749	0.3693689712
248	0.8842657954	0.3692476698
249	0.884574485	0.3689120994
250	0.8848128115	0.3686274146
251	0.8850061208	0.3683835874
252	0.8850766731	0.3682834046
253	0.8852003759	0.3681342965
254	0.8853785533	0.367931869
255	0.8854863677	0.3677983461
256	0.8854992298	0.3677797688
257	0.8855832115	0.367634503
258	0.8857470137	0.3674084951
259	0.8857950573	0.3673260961
260	0.8859017368	0.3672041701
261	0.886075753	0.3669896504
262	0.8861048818	0.3669569573
263	0.8862119396	0.3668080661
264	0.8862195056	0.366797197
265	0.8863496394	0.3666769856
266	0.8864839345	0.3664897367
267	0.8865539193	0.3664049153
268	0.8867971637	0.3660653677
269	0.8868523949	0.3659629672
270	0.8869401596	0.3658617199
271	0.8870252762	0.3657576418
272	0.8872178289	0.3655534455
273	0.8873536372	0.3653950092
274	0.8875325713	0.3651999855
275	0.8875889374	0.3650867046
276	0.8877758157	0.3648683051
277	0.8878983836	0.3647014884
278	0.8881386016	0.3643590964
279	0.8883443947	0.3641231757
280	0.8885997446	0.3637839806
281	0.8886345478	0.3637209665
282	0.8887898384	0.3635451077
283	0.888965746	0.3633306187
284	0.8893671182	0.3628173058
285	0.8894461821	0.3627164684
286	0.8895800989	0.3625747257
287	0.8897541151	0.3623774919
288	0.8899228352	0.3621414658
289	0.889989037	0.3620435916
290	0.8900824761	0.3619435415
291	0.8902924304	0.3616887987
292	0.890391544	0.3615443396
293	0.8905069243	0.3613686182
294	0.8906711048	0.3611900592
295	0.8908549567	0.3609690586
296	0.8910017356	0.3607481132
297	0.8910357823	0.3606908477
298	0.8911190074	0.3605925974
299	0.8912332528	0.3604241349
