iter	Passed	Remaining
0	8	2562
1	16	2531
2	23	2348
3	30	2236
4	33	1997
5	35	1757
6	41	1729
7	43	1587
8	47	1538
9	53	1543
10	57	1520
11	61	1482
12	68	1501
13	73	1507
14	79	1510
15	86	1528
16	93	1550
17	96	1507
18	102	1517
19	107	1506
20	112	1496
21	117	1482
22	120	1452
23	126	1451
24	128	1411
25	134	1414
26	139	1412
27	145	1410
28	150	1406
29	155	1399
30	159	1388
31	165	1389
32	172	1395
33	175	1369
34	181	1371
35	186	1369
36	191	1363
37	197	1360
38	201	1351
39	207	1348
40	212	1339
41	218	1340
42	224	1341
43	229	1336
44	235	1336
45	241	1331
46	247	1329
47	252	1324
48	257	1318
49	262	1312
50	268	1309
51	272	1301
52	277	1292
53	279	1274
54	285	1271
55	290	1264
56	295	1261
57	301	1257
58	306	1253
59	313	1252
60	318	1246
61	324	1244
62	329	1239
63	334	1235
64	340	1231
65	345	1225
66	350	1218
67	355	1213
68	361	1210
69	367	1206
70	371	1196
71	377	1194
72	383	1191
73	388	1185
74	393	1179
75	396	1168
76	402	1164
77	407	1161
78	413	1155
79	420	1156
80	427	1155
81	433	1151
82	438	1145
83	440	1133
84	445	1127
85	452	1125
86	458	1121
87	463	1117
88	468	1110
89	473	1105
90	478	1099
91	483	1093
92	488	1088
93	495	1084
94	499	1078
95	504	1071
96	509	1065
97	514	1059
98	519	1054
99	525	1050
100	528	1040
101	532	1034
102	536	1025
103	540	1019
104	544	1010
105	549	1005
106	555	1002
107	562	999
108	567	994
109	573	990
110	580	988
111	583	979
112	585	968
113	590	963
114	597	960
115	602	956
116	609	953
117	614	948
118	621	945
119	627	940
120	632	935
121	637	929
122	642	924
123	648	921
124	652	913
125	657	908
126	665	906
127	670	901
128	676	896
129	679	888
130	685	884
131	691	879
132	696	874
133	699	865
134	705	861
135	711	857
136	717	854
137	721	847
138	727	842
139	732	836
140	738	832
141	744	828
142	750	823
143	755	818
144	757	809
145	764	805
146	770	801
147	775	796
148	780	791
149	786	786
150	789	779
151	795	774
152	801	769
153	806	764
154	812	760
155	818	755
156	823	749
157	826	742
158	831	737
159	837	732
160	839	724
161	846	720
162	849	713
163	855	709
164	861	704
165	867	700
166	873	695
167	877	689
168	882	683
169	887	678
170	892	673
171	897	668
172	902	662
173	905	655
174	910	650
175	916	645
176	922	641
177	929	636
178	936	632
179	941	627
180	946	622
181	948	615
182	953	609
183	958	604
184	960	596
185	965	591
186	971	587
187	974	580
188	979	575
189	985	570
190	991	565
191	996	560
192	1002	555
193	1007	550
194	1013	545
195	1016	539
196	1019	532
197	1021	526
198	1027	521
199	1030	515
200	1036	510
201	1040	504
202	1046	500
203	1052	495
204	1058	490
205	1065	486
206	1070	480
207	1075	475
208	1082	471
209	1087	466
210	1093	461
211	1099	456
212	1104	451
213	1110	446
214	1116	441
215	1121	436
216	1126	430
217	1131	425
218	1136	420
219	1138	413
220	1143	408
221	1149	403
222	1154	398
223	1157	392
224	1163	387
225	1168	382
226	1174	377
227	1180	372
228	1187	368
229	1193	363
230	1199	358
231	1205	353
232	1207	347
233	1214	342
234	1220	337
235	1225	332
236	1231	327
237	1233	321
238	1238	316
239	1241	310
240	1246	305
241	1251	300
242	1258	295
243	1265	290
244	1271	285
245	1277	280
246	1282	275
247	1288	270
248	1294	265
249	1300	260
250	1305	254
251	1311	249
252	1317	244
253	1323	239
254	1329	234
255	1335	229
256	1338	223
257	1343	218
258	1349	213
259	1354	208
260	1360	203
261	1366	198
262	1370	192
263	1376	187
264	1381	182
265	1388	177
266	1395	172
267	1401	167
268	1406	162
269	1412	156
270	1418	151
271	1424	146
272	1433	141
273	1441	136
274	1448	131
275	1454	126
276	1459	121
277	1464	115
278	1470	110
279	1476	105
280	1481	100
281	1487	94
282	1492	89
283	1498	84
284	1503	79
285	1509	73
286	1515	68
287	1520	63
288	1526	58
289	1533	52
290	1538	47
291	1544	42
292	1549	37
293	1554	31
294	1559	26
295	1566	21
296	1571	15
297	1577	10
298	1582	5
299	1588	0
