video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
gDuslQ9avLc,17.14.11,Захар и Полина учатся экономить,Т—Ж БОГАЧ,22,2017-11-13T09:09:31.000Z,"захар и полина|""учимся экономить""|""копить деньги""|""экономь""|""мелкие траты""|""как экономить на еде""|""советы экономить""|""личный бюджет""|""при маленькой зарплате""|""свадьба""|""подготовка к свадьбе""|""гости на свадьбе""|""красивая свадьба""|""жизнь свадьба""",62408,334,190,50,https://i.ytimg.com/vi/gDuslQ9avLc/default.jpg,False,False,False,"Знакомьтесь, это Захар и Полина. Вместе с ними мы сняли серию роликов о семейном бюджете, экономии и тратах. В первом ролике ребята готовятся к свадьбе и хотят отпраздновать ее пышно. Но без накоплений, с одной зарплатой на двоих и кучей мелких трат свадьба может не случиться. Смотрите, как спасти семейный бюджет и научиться копить. В следующем ролике расскажем, как заработать больше, если денег все равно не хватает.\n\nТаблица для ежедневного бюджета: https://journal.tinkoff.ru/spreadsheet/\n\nПодписывайтесь на наш канал и узнавайте, как с умом пользоваться деньгами:  https://www.youtube.com/tinkoffjournal\n\nГотовы рассказать свою историю или стать автором канала — пишите на rich@tinkoff.ru"
AOCJIFEA_jE,17.14.11,Биржа Мемов #29. Большой выпуск,Druzhko Show,22,2017-11-13T17:32:11.000Z,"биржа мемов|""лев шагинян""|""мемы""|""пикчи""|""дружко""|""дружко шоу""|""анонимус""|""борщ""|""ftp""|""мхк""|""на случай важных переговоров""|""аффлек""|""бэн аффлек""|""batman""|""бэтмен""|""трамп""",330043,43841,2244,2977,https://i.ytimg.com/vi/AOCJIFEA_jE/default.jpg,False,False,False,"В 29 выпуске Дружко Шоу Сергей сказал, что Биржа Мемов отдельно выйдет на его канале в понедельник…и не соврал!\n\nВстречайте, расширенная и, впервые, самостоятельная Биржа Мемов, в которой Лев вспомнил лучшие пикчи последней недели, обсудил самые мемные новости, встретился с очередным гостем и разобрал один из пабликов ВК на орпригодность в рамках своей новой рубрики! В общем, обязательно к просмотру.\n\nВедущий биржи мемов: \nVK: https://vk.cc/6Dolqn\nInstagram: https://goo.gl/AoHGPN\n\nБиржа Мемов:\nhttps://vk.com/stockmem\n\nГруппа Вконтакте: https://vk.cc/6BBS07\nГруппа Facebook: https://goo.gl/ZS5mzT\nInstagram Шоу: https://goo.gl/F5s5PK\n\nМоя личная страница ВКонтакте: https://vk.cc/6Djxew\nМой инстаграм: https://goo.gl/LukuVV\n\nИван #ЖаданИсполняетМечты:\nVK: https://vk.cc/70ncIe\nInstagram: https://goo.gl/DVjC87"
VAWNQDgwwOM,17.14.11,ХАЙП КЭМП - СВОЙ СРЕДИ ЧУЖИХ,Юлик,24,2017-11-13T16:11:31.000Z,"юмор|""комедия""|""влог""|""блог""|""смешно""|""смешное""|""juliusspeak""|""julius speak""|""джулиус спик""|""юлик""|""шутки""|""приколы""|""видеоприколы""|""хайп кэмп""",424596,49854,714,2944,https://i.ytimg.com/vi/VAWNQDgwwOM/default.jpg,False,False,False,http://kapitany.ru/!Yulik.cap - Факультет #Капитаны\nМерч - https://mamcupy.com/shop/pap-prodaj/yulik\nЮлик - http://vk.com/oneshko\nГруппа - http://vk.com/juliusspeak\nЛайв канал - https://www.youtube.com/channel/UCvnVq3ay_VTc6NuwwfUzVJQ?sub_confirmation=1
gknkFwKQfHg,17.14.11,Сочная кесадилья с курицей,Hochland,22,2017-11-13T06:51:10.000Z,"хохланд|""сыр""|""рецепты""|""как приготовить""|""вкусно""|""быстро""",112851,3566,122,80,https://i.ytimg.com/vi/gknkFwKQfHg/default.jpg,False,False,False,*** как готовить ресторанные блюда дома
3sYvZcwzZr8,17.14.11,КЛИПЫ РОДИТЕЛЕЙ НА ШКОЛЬНЫЙ ВЫПУСКНОЙ,Совергон,24,2017-11-13T16:52:36.000Z,"Совергон|""Sovergon""|""клипы""|""родители""|""школа""|""школьники""|""школьница""|""выпускной""|""последний звонок""|""звонок""|""музыка""|""юмор""|""скетч""|""шоу""|""совергон +""|""мама""|""папа""|""класс""|""11А""|""9А""|""учителя""|""1 сентября""|""обзор""|""тренды""|""реакция""|""мемы""|""видео""|""обзор трендов""|""в тренде""|""горячее""|""засмеялся проиграл""|""тает лёд""|""пародия""",243469,36216,631,1692,https://i.ytimg.com/vi/3sYvZcwzZr8/default.jpg,False,False,False,"❏ КОНКУРС КАПИТАНЫ: http://kapitany.ru/!Sovergon.cap\n\nПриветствую, единственный человек, который читает описание. Сегодня я забрел совсем в какие-то дебри. Знаешь же клипы выпускников школ/лицеев? Все эти пародии на Тает Лёд и прочее? У этого есть ещё и поджанр - родители тоже порой снимают клипы на выпускной своих детей. Посмотри на это вместе со мной!\n\n▶https://vk.com/sovergonm - Я в ВК\n\n▶https://vk.com/sovergon - Наша группа с мемами\n\n▶https://twitter.com/Sovergon - Твиттер с шутками\n\n▶http://instagram.com/Sovergon/ - Инстаграм с жизнью\n\n▶https://youtube.com/LiveSovergon - Нарезки со стримов и прочее"
SLF34Gt_UxQ,17.14.11,АНОНС / Versus Fresh Blood 4: Война Стилей,versusbattleru,24,2017-11-12T17:50:31.000Z,[none],733936,47964,2545,3901,https://i.ytimg.com/vi/SLF34Gt_UxQ/default.jpg,False,False,False,"Участвовать в проекте допускаются только лица достигшие совершеннолетнего возраста(18+)\nЗаявка принимается исключительно в виде видеозаписи с отсутствием элементов монтажа.\nМаксимальная длительность заявки - 60 секунд. Заявки большего хронометража рассматриваться не будут.\nВсе видеозаявки должны быть размещены на платформе YouTube и находиться в открытом доступе.\nСсылку на ролик необходимо отправить по электронной почте на адрес vsbattlefb4@gmail.com\nТема письма должна быть Fresh Blood 4 Война Стилей . В теле письма должны содержаться действительные данные следующего характера - Фамилия Имя Отчество, возраст участника, город проживания, телефон для связи и ссылка на социальные сети, если такие имеются.\nПосле получения письма Организатор должен уведомить отправителя о рассмотрении заявки ответным письмом в течении 14 дней в формате отказа в сотрудничестве, либо ответом о повторном рассмотрении заявки во втором этапе отбора.\nВ случае отказа от сотрудничества с отправителем Организатор в праве не рассматривать другие видеоработы отправителя, а так же оставлять их без ответа.\n\nЛюбые несоответствия форме заявки будет расценены как недействительные.\n\nРежиссер — Рикка \nОператор — Мисюров\nГрафика — Леднёв\nЗвук — Цукерман\n3D Художник – https://vk.com/kid_cut\nSound producer - www.scadymusic.ru"
YVcroDDi24s,17.14.11,ЗАМОРОЗКА ЧЕЛОВЕКА + 1 К БЕССМЕРТИЮ — ТОПЛЕС,ТОПЛЕС,28,2017-11-12T17:19:59.000Z,"топлес|""ян топлес""|""ян лапотков""|""caramba""|""topless""|""carambatv""|""karamba""|""topless caramba""|""топлес карамба""|""ян топлес и любарская""|""топлес шоу""|""я не каспар""|""янекаспар""|""заморозка""|""крионика""|""вашингтон""|""бессмертие""|""есть ли бессмертие""",1131851,78692,2427,4114,https://i.ytimg.com/vi/YVcroDDi24s/default.jpg,False,False,False,"Факультет Капитаны России, мой курс ► http://kapitany.ru/!Topless.cap\n\nОТДЫХАЕМ ОТ НАУКИ ТУТ ► https://goo.gl/LFf4Dj\n\n#ТОПЛЕС #ЯНЛАПОТКОВ #ТОПЛЕСШОУ #+1КБЕССМЕРТИЮ #ЗАМОРОЗКАЧЕЛОВЕКА #КРИОНИКА\n\n▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰­▰▰\n\nЯ В VK ► https://vk.com/yanlapotkov\nINSTAGRAM ► https://www.instagram.com/yan_lapotkov/\nГРУППА VK ► https://vk.com/toples_show\nTWITTER ► https://twitter.com/drunish\n\n▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰­▰▰\n\nСмотрите больше видео:\nКОСМОС ► https://goo.gl/uCkfD3\nТЕХНОЛОГИИ ► https://goo.gl/vLdH2H\nИГРЫ ► https://goo.gl/17LhoN\nКИНО ► https://goo.gl/ZUgWGD\nVLOG ► https://goo.gl/z88cuS\nСТРАХ ► https://goo.gl/b6fu5K\nЖИВОТНЫЕ ► https://goo.gl/jn93tz\nОЧЕНЬ ИНТЕРЕСНЫЕ ► https://goo.gl/Prcrtj\n\n▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰­▰▰\n\nИСТОЧНИКИ:\n\nГДЕ МОЖНО СЕБЯ ЗАМОРОЗИТЬ?\nhttp://kriorus.ru/\nhttp://alcor.org/\nhttp://www.cryonics.org/\n\nОстальное:\n\nhttps://goo.gl/NR5oDQ\n\n▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰­▰▰\n\nРеклама, сотрудничество: toples.show@gmail.com\n\n▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰▰­▰▰\n\nРедактор: Вадим Куликов\nАниматор: Алена Никитина"
TZdNwUSgRHc,17.14.11,"РПЦ незаконно строит храм, полиция смотрит как бьют местных жителей",Нет застройке без согласия,22,2017-11-13T06:29:09.000Z,[none],97006,2259,330,887,https://i.ytimg.com/vi/TZdNwUSgRHc/default.jpg,False,False,False,"Строители нападают на муниципального депутата, стоящие рядом полицейские звонят куда-то по телефону и делают вид, что ничего не происходит! Сегодня, 13 ноября, на улице Воротынской, возле дома №14, произошли стычки между строителями храма и жителями района, которые выступают против застройки в своем дворе. Активистам удавалось сдерживать начало строительства в течении месяца, так как у застройщика не было на руках всех разрешающих документов. Однако сегодня рабочие пригнали строительную технику в 7 утра и выстроились живой цепью, дабы не пропустить местных жителей на площадку и не дать им помешать начать строительство. Кроме самих рабочих площадка ничем не огорожена. В настоящий момент  происходят стычки, рабочие нападают на местных жителей, которые пытаются пройти к технике, полиция, присутствующая на площадке бездействует и называет жильцов провокаторами."
YxEJVGfP74Y,17.14.11,Итальянцы VS русская народная медицина,Итальянцы by Kuzno Productions,24,2017-11-13T17:22:55.000Z,"Итальянцы|""эмоциональные итальянцы""|""итальянцы угадывают""|""народная медицина""|""иностранцы о россии""|""русская медицина""|""средства от кашля""|""как вылечить""|""смотреть итальянцев""|""реакции""|""эмоции""|""шоу реакция""|""шоу реакций""|""россия""|""трэш шоу""|""угадывают""|""европейцы пробуют""",105116,9780,93,1184,https://i.ytimg.com/vi/YxEJVGfP74Y/default.jpg,False,False,False,"Внимание! Стрим с Алессандрой пройдет 23 ноября в 20.00 по Москве канале Kuzno Live https://goo.gl/TYXddB\nТакие ли мы разные с итальянцами? Решили ответить на этот вопрос, предложив ребятам средства народной медицины, знакомые нам с детства. Вот и узнаем как лечат простые недомогания на солнечном полуострове!\n\nАвторы канала и монтаж:\nЛариса Степанцова\nДарья Переверзева\nОператор: Виталий Казанин\n\nУчастники видео:\nAlessandra Carola Brambilla\nMaria Tacchio\nMauro Milioti\nClaudio Bonandi\nVincenzo Paolella\nRoberto Beretta"
oZYT_vC4-pc,17.14.11,КВН 2017 Высшая лига Вторая 1/2 (12.11.2017) ИГРА ЦЕЛИКОМ Full HD,Официальный канал КВН,23,2017-11-12T22:00:03.000Z,"KVN|""КВН""|""камеди""|""comedy""|""приколы""|""финал""|""шутки""|""смешные""|""развлечения""|""юмор""|""игры""|""лига""|""Галустян""|""Задорнов""|""Мартиросян""|""Светлаков""|""Слепаков""|""Харламов""|""смотреть квн""|""квн онлайн""|""rdy""",442228,3194,5985,3218,https://i.ytimg.com/vi/oZYT_vC4-pc/default.jpg,False,False,False,КВН 2017 Высшая лига Вторая 1/2 (12.11.2017) ИГРА ЦЕЛИКОМ Full HD\n\nПодпишись на новые видео КВН - http://bit.ly/KVN_Subscribe\nМиниатюры. Блок #6- http://bit.ly/KVN_Best_6\nМиниатюры. Блок #5 - http://bit.ly/KVN_Best_5\nМиниатюры. Блок #4 - http://bit.ly/KVN_Best_4\nМиниатюры. Блок #3 - http://bit.ly/KVN_Best_3\nМиниатюры. Блок #2 - http://bit.ly/KVN_Best_2\nМиниатюры КВН здесь - http://bit.ly/KVN_Best\n\nYouTube - http://www.youtube.com/kvn\nОфициальный сайт КВН - http://kvn.ru/\nVkontakte - http://vk.com/public28490858\nFacebook - http://www.facebook.com/kvnbest\nGoogle+ - http://bit.ly/KVN_Google
