,time,X_value,Y_value,Z_value
0,9.9987,4.4749,-7.43422,-0.42379
1,10.001,4.63053,-7.32169,-0.4166
2,10.0026,4.92742,-7.1086,-0.40463
3,10.0048,5.19558,-6.91706,-0.4166
4,10.007,5.30811,-6.84763,-0.43815
5,10.0086,5.53796,-6.73988,-0.5004
6,10.0106,5.60739,-6.69679,-0.51237
7,10.0127,5.70077,-6.6058,-0.54111
8,10.019,5.76781,-6.54834,-0.85476
9,10.019,5.76781,-6.54834,-0.85476
10,10.0194,5.76302,-6.56031,-0.90743
11,10.0207,5.74147,-6.51243,-1.00081
12,10.0229,5.71992,-6.47412,-1.04151
13,10.0258,5.59781,-6.4406,-1.10855
14,10.0269,5.47092,-6.45736,-1.09418
15,10.0283,5.11896,-6.53158,-0.99123
16,10.0302,4.71433,-6.60341,-0.89067
17,10.0322,4.50603,-6.62496,-0.84039
18,10.0371,3.68239,-6.72791,-0.81166
19,10.0373,3.68239,-6.72791,-0.81166
20,10.0382,3.45733,-6.79974,-0.84278
21,10.0399,2.95932,-6.96495,-0.88588
22,10.0421,2.4661,-7.05593,-0.90025
23,10.0442,2.25062,-7.21395,-0.9194
24,10.0464,1.8412,-7.30014,-0.84997
25,10.048,1.62092,-7.30493,-0.76856
26,10.05,1.11573,-7.24268,-0.56505
27,10.052,0.66561,-7.13733,-0.40942
28,10.0577,0.05986,-6.90509,-0.13647
29,10.059,-0.06704,-6.90509,-0.05267
30,10.059,-0.1676,-6.79016,0.00958
31,10.0609,-0.2921,-6.57468,0.09577
32,10.063,-0.55308,-6.4406,0.31365
33,10.0641,-0.66321,-6.37356,0.42379
34,10.067,-0.79729,-6.20357,0.48125
35,10.0682,-0.84518,-5.94977,0.41421
36,10.0704,-0.90743,-5.87316,0.36872
37,10.0726,-1.11813,-5.74387,0.32083
38,10.0798,-1.42459,-5.49965,0.45491
39,10.0798,-1.42459,-5.49965,0.45491
40,10.0798,-1.52515,-5.4374,0.52674
41,10.0812,-1.65923,-5.3967,0.59857
42,10.0849,-1.89627,-5.33923,0.69673
43,10.085,-2.06865,-5.21473,0.72307
44,10.0872,-2.14288,-5.186,0.70871
45,10.0885,-2.18837,-5.13093,0.63688
46,10.0902,-2.16442,-5.09741,0.51237
47,10.0935,-2.11175,-5.08305,0.46928
48,10.0978,-1.61374,-5.16924,0.39984
49,10.0982,-1.61374,-5.16924,0.39984
50,10.0986,-1.50839,-5.22191,0.38308
51,10.1,-1.2977,-5.38712,0.38548
52,10.1019,-1.20193,-5.45176,0.42618
53,10.1043,-1.01278,-5.63612,0.44534
54,10.106,-0.838,-5.88513,0.46928
55,10.1083,-0.78293,-6.00245,0.48604
56,10.1102,-0.69434,-6.19159,0.57463
57,10.112,-0.64167,-6.26582,0.70392
58,10.1191,-0.5866,-6.45497,0.74941
59,10.1192,-0.58181,-6.45497,0.74941
60,10.1203,-0.58181,-6.51482,0.72786
61,10.121,-0.62012,-6.6058,0.64645
62,10.122,-0.68955,-6.75904,0.45731
63,10.1249,-0.74701,-6.84763,0.34956
64,10.1262,-0.81166,-7.03677,0.08619
65,10.1301,-0.82602,-7.26423,-0.24422
66,10.1302,-0.79969,-7.38873,-0.39745
67,10.1325,-0.78772,-7.67126,-0.58181
68,10.1368,-0.67758,-8.07349,-0.74223
69,10.137,-0.61533,-8.18363,-0.75899
70,10.1382,-0.54829,-8.30334,-0.79011
71,10.1411,-0.44773,-8.42306,-0.81645
72,10.1423,-0.19154,-8.60981,-0.79969
73,10.1443,0.19872,-8.70798,-0.75899
74,10.1461,0.40703,-8.73192,-0.70392
75,10.1481,0.76617,-8.76783,-0.54829
76,10.1503,0.95053,-8.78699,-0.48125
77,10.1525,1.2977,-8.85882,-0.39506
78,10.1573,1.73824,-9.2419,-0.30886
79,10.1582,1.73824,-9.2419,-0.30886
80,10.1588,1.77655,-9.37837,-0.27295
81,10.1604,1.76937,-9.62259,-0.25379
82,10.1624,1.77416,-9.73273,-0.25379
83,10.1649,1.84599,-9.89314,-0.37111
84,10.1664,1.8388,-9.95779,-0.47885
85,10.1685,1.81247,-10.06553,-0.72786
86,10.1703,1.82204,-10.19722,-1.13967
87,10.1724,1.86514,-10.23792,-1.30249
88,10.1777,2.02795,-10.27862,-2.03034
89,10.1778,2.02795,-10.27862,-2.03034
90,10.1783,2.0064,-10.31454,-2.21949
91,10.1806,1.97288,-10.34327,-2.48047
92,10.1829,1.96809,-10.31214,-2.593
93,10.1848,1.97767,-10.29059,-2.57863
94,10.1862,2.00161,-10.21877,-2.37991
95,10.1884,2.01119,-10.17806,-2.21231
96,10.1907,2.07823,-10.05835,-1.76937
97,10.1981,2.20034,-9.96258,-1.35277
98,10.1981,2.28893,-9.84765,-0.70631
99,10.1982,2.32245,-9.84765,-0.53871
100,10.199,2.344,-9.84526,-0.40463
101,10.2,2.37512,-9.8261,-0.28013
102,10.2021,2.52117,-9.80934,-0.04549
103,10.2059,2.57624,-9.82371,0.08619
104,10.2067,2.64328,-9.83329,0.38308
105,10.2085,2.87074,-9.82371,0.68955
106,10.211,3.0096,-9.81892,0.84278
107,10.212,3.21551,-9.84526,1.15883
108,10.217,3.76859,-10.05356,1.59938
109,10.2173,3.76859,-10.05356,1.59938
110,10.2183,3.94337,-10.11102,1.62571
111,10.2199,4.16125,-10.17088,1.61374
112,10.2223,4.58982,-10.34087,1.47727
113,10.2249,5.04234,-10.56594,1.25221
114,10.2262,5.2674,-10.7072,1.1277
115,10.2279,5.66485,-10.98733,0.8787
116,10.2301,5.98808,-11.26985,0.6273
117,10.2321,6.16286,-11.40393,0.48604
118,10.2369,6.65608,-11.95222,0.05746
119,10.2372,6.65608,-11.95222,0.05746
120,10.2381,6.72073,-12.05278,-0.0431
121,10.2406,6.76143,-12.22756,-0.22746
122,10.2419,6.78059,-12.28742,-0.3352
123,10.2441,6.78059,-12.36882,-0.55308
124,10.2462,6.75904,-12.41432,-0.79729
125,10.2483,6.74467,-12.40234,-0.88349
126,10.2501,6.6896,-12.32573,-0.95053
127,10.2526,6.65608,-12.1701,-0.92419
128,10.2588,6.66087,-11.81814,-0.62012
129,10.2588,6.66087,-11.81814,-0.62012
130,10.2589,6.70158,-11.65772,-0.5004
131,10.2602,6.83565,-11.30337,-0.2945
132,10.2621,6.98649,-10.97057,-0.15084
133,10.2644,7.04156,-10.80776,-0.11971
134,10.266,7.14691,-10.49171,-0.08141
135,10.2681,7.2786,-10.21158,-0.16042
136,10.2702,7.36,-10.07511,-0.23943
137,10.2726,7.53957,-9.84526,-0.39745
138,10.2775,7.88195,-9.48372,-0.40224
139,10.2779,7.88195,-9.48372,-0.40224
140,10.2784,7.92026,-9.41668,-0.32323
141,10.28,7.93942,-9.35922,-0.21788
142,10.2824,7.84125,-9.2443,0.01915
143,10.2849,7.67844,-9.19402,0.24182
144,10.2866,7.60422,-9.16528,0.33041
145,10.2883,7.36479,-9.12937,0.4597
146,10.2904,7.08226,-9.12937,0.5028
147,10.2924,6.95297,-9.10782,0.60815
148,10.2978,6.40947,-9.115,0.94813
149,10.2978,6.40947,-9.115,0.94813
150,10.2984,6.273,-9.11261,1.07264
151,10.3001,5.99048,-9.1174,1.37671
152,10.3023,5.84682,-9.12698,1.49642
153,10.3043,5.52599,-9.16768,1.65444
154,10.3063,5.20037,-9.17007,1.69036
155,10.3089,5.02319,-9.15571,1.65923
156,10.3102,4.60898,-9.16768,1.51558
157,10.3126,4.38152,-9.18204,1.41023
158,10.3179,3.41184,-9.31133,0.85954
159,10.3179,3.41184,-9.31133,0.85954
160,10.3182,3.1772,-9.3688,0.71828
161,10.3207,2.74144,-9.4526,0.49083
162,10.3224,2.37991,-9.53879,0.38548
163,10.3247,2.23146,-9.56513,0.38308
164,10.3323,1.95133,-9.62738,0.44294
165,10.3323,1.8388,-9.6585,0.51477
166,10.3323,1.69515,-9.71597,0.67758
167,10.333,1.59219,-9.8285,0.90025
168,10.3382,1.45093,-10.00807,1.07503
169,10.3388,1.40065,-10.08947,1.0439
170,10.3388,1.35995,-10.19003,0.92898
171,10.3405,1.31206,-10.31693,0.74701
172,10.3431,1.2546,-10.59945,0.24422
173,10.3447,1.24981,-10.75269,-0.09577
174,10.3464,1.28094,-11.09268,-0.86673
175,10.3482,1.3791,-11.44942,-1.70712
176,10.3509,1.45811,-11.64815,-2.12133
177,10.3519,1.61853,-12.11742,-2.8875
178,10.3573,1.78134,-13.30499,-3.81408
179,10.3573,1.78134,-13.30499,-3.81408
180,10.3582,1.7167,-13.63061,-3.84281
181,10.3604,1.44854,-13.99454,-3.61775
182,10.3625,1.24263,-14.73676,-3.33762
183,10.3647,0.66561,-15.49335,-2.54751
184,10.3666,0.32562,-15.87644,-2.08062
185,10.3686,-0.39745,-16.60909,-1.07742
186,10.3702,-1.13967,-17.23638,-0.07901
187,10.3723,-1.49642,-17.50454,0.40463
188,10.3783,-2.78454,-18.44549,1.89866
189,10.3783,-2.78454,-18.44549,1.89866
190,10.3788,-3.08622,-18.6538,2.16921
191,10.3803,-3.65366,-19.05124,2.57624
192,10.383,-3.91225,-19.25715,2.7175
193,10.3846,-4.35279,-19.63545,2.93059
194,10.3865,-4.75742,-19.98741,2.97608
195,10.3884,-4.92502,-20.13585,2.94975
196,10.3901,-5.20755,-20.41359,2.94735
197,10.3926,-5.46374,-20.68414,2.98805
198,10.3982,-5.67683,-20.92357,3.11256
199,10.3983,-5.70556,-20.92357,3.11256
200,10.3983,-5.71513,-20.96427,3.17002
201,10.4003,-5.69837,-20.98821,3.33044
202,10.4021,-5.61457,-20.94033,3.43578
203,10.4044,-5.54275,-20.89005,3.46452
204,10.4064,-5.33684,-20.72724,3.51958
205,10.4082,-5.06629,-20.46865,3.49085
206,10.4106,-4.95615,-20.325,3.43818
207,10.412,-4.70954,-19.9922,3.21551
208,10.4183,-4.01999,-19.09674,2.38949
209,10.4193,-4.01999,-19.09674,2.38949
210,10.4193,-3.8476,-18.86689,2.06386
211,10.4202,-3.68239,-18.63464,1.73345
212,10.4221,-3.44536,-18.13663,1.05827
213,10.4244,-3.34959,-17.65538,0.42858
214,10.4261,-3.24424,-17.36328,0.1269
215,10.4284,-3.01918,-16.6881,-0.29928
216,10.4303,-2.85398,-16.00573,-0.57223
217,10.4325,-2.76778,-15.67771,-0.64406
218,10.4377,-2.31766,-14.46381,-0.92658
219,10.4394,-2.31766,-14.46381,-0.92658
220,10.4395,-2.11414,-14.14538,-1.04151
221,10.4403,-1.7167,-13.53723,-1.30488
222,10.4488,-1.51318,-13.23316,-1.44375
223,10.4489,-1.02954,-12.5891,-1.68557
224,10.4489,-0.49561,-11.98095,-1.86035
225,10.4489,-0.20351,-11.69124,-1.93218
226,10.45,0.42618,-11.19323,-2.0495
227,10.4523,0.7518,-10.9586,-2.12133
228,10.4588,1.94894,-10.20919,-2.44216
229,10.4588,2.19316,-10.06314,-2.50441
230,10.4588,2.19316,-10.06314,-2.50441
231,10.4603,2.69356,-9.7854,-2.61694
232,10.462,3.17481,-9.53879,-2.71271
233,10.4649,3.42142,-9.42865,-2.75102
234,10.4661,3.9314,-9.15571,-2.83003
235,10.4688,4.45575,-9.00966,-2.83482
236,10.4699,4.67602,-8.78938,-2.76778
237,10.472,4.91545,-8.69361,-2.60737
238,10.477,5.13093,-8.54996,-2.50202
239,10.4779,5.13093,-8.54277,-2.48765
240,10.4783,5.08544,-8.56193,-2.47329
241,10.4805,4.99925,-8.60023,-2.45653
242,10.4821,4.77418,-8.65051,-2.37033
243,10.4846,4.73109,-8.62657,-2.26259
244,10.4861,4.73348,-8.52601,-2.25062
245,10.4882,4.69996,-8.41348,-2.21231
246,10.4914,4.63292,-8.38475,-2.18597
247,10.492,4.4749,-8.34165,-2.10936
248,10.498,4.26899,-8.03758,-1.82923
249,10.4988,4.26899,-8.03758,-1.82923
250,10.4999,4.23787,-7.92744,-1.77895
251,10.5007,4.15886,-7.74308,-1.63768
252,10.5021,4.09421,-7.65689,-1.57304
253,10.5053,3.84999,-7.50366,-1.36953
254,10.5067,3.71113,-7.45338,-1.22108
