ts,angle_0,angle_1
0.0,180.0,180.0
0.002,180.0,180.0
0.004,180.0,180.0
0.006,180.0,180.0
0.008,180.0,180.0
0.01,180.0,180.0
0.012,180.0,180.0
0.014,180.0,180.0
0.016,180.0,180.0
0.018,180.0,180.0
0.02,180.0,180.0
0.022,180.0,180.0
0.024,180.0,180.0
0.026,180.0,180.0
0.028,180.0,180.0
0.03,180.0,180.0
0.032,180.0,180.0
0.034,180.0,180.0
0.036,180.0,180.0
0.038,180.0,180.0
0.04,180.0,180.0
0.042,180.0,180.0
0.044,180.0,180.0
0.046,180.0,180.0
0.048,180.0,180.0
0.05,180.0,180.0
0.052,180.0,180.0
0.054,180.0,180.0
0.056,180.0,180.0
0.058,180.0,180.0
0.06,180.0,180.0
0.062,180.0,180.0
0.064,180.0,180.0
0.066,180.0,180.0
0.068,180.0,180.0
0.07,180.0,180.0
0.072,180.0,180.0
0.0739999999999999,180.0,180.0
0.076,180.0,180.0
0.078,180.0,180.0
0.08,180.0,180.0
0.082,180.0,180.0
0.084,180.0,180.0
0.086,180.0,180.0
0.0879999999999999,180.0,180.0
0.0899999999999999,180.0,180.0
0.092,180.0,180.0
0.094,180.0,180.0
0.096,180.0,180.0
0.098,180.0,180.0
0.1,180.0,180.0
0.102,180.0,180.0
0.104,180.0,180.0
0.106,180.0,180.0
0.108,180.0,180.0
0.11,180.0,180.0
0.112,180.0,180.0
0.114,180.0,180.0
0.116,180.0,180.0
0.118,180.0,180.0
0.12,180.0,180.0
0.122,180.0,180.0
0.124,180.0,180.0
0.126,180.0,180.0
0.128,180.0,180.0
0.13,180.0,180.0
0.132,180.0,180.0
0.134,180.0,180.0
0.136,180.0,180.0
0.138,180.0,180.0
0.14,180.0,180.0
0.142,180.0,180.0
0.144,180.0,180.0
0.146,180.0,180.0
0.148,180.0,180.0
0.15,180.0,180.0
0.152,180.0,180.0
0.154,180.0,180.0
0.156,180.0,180.0
0.158,180.0,180.0
0.16,180.0,180.0
0.162,180.0,180.0
0.164,180.0,180.0
0.166,180.0,180.0
0.168,180.0,180.0
0.17,180.0,180.0
0.172,180.0,180.0
0.174,180.0,180.0
0.176,180.0,180.0
0.178,180.0,180.0
0.18,180.0,180.0
0.182,180.0,180.0
0.184,180.0,180.0
0.186,180.0,180.0
0.188,180.0,180.0
0.19,180.0,180.0
0.192,180.0,180.0
0.194,180.0,180.0
0.196,180.0,180.0
0.198,180.0,180.0
0.2,180.0,180.0
0.202,180.0,180.0
0.204,180.0,180.0
0.206,180.0,180.0
0.208,180.0,180.0
0.21,180.0,180.0
0.212,180.0,180.0
0.214,180.0,180.0
0.216,180.0,180.0
0.218,180.0,180.0
0.22,180.0,180.0
0.222,180.0,180.0
0.224,180.0,180.0
0.226,180.0,180.0
0.228,180.0,180.0
0.23,180.0,180.0
0.232,180.0,180.0
0.234,180.0,180.0
0.236,180.0,180.0
0.238,180.0,180.0
0.24,180.0,180.0
0.242,180.0,180.0
0.244,180.0,180.0
0.246,180.0,180.0
0.248,180.0,180.0
0.25,180.0,180.0
0.252,180.0,180.0
0.254,180.0,180.0
0.256,180.0,180.0
0.258,180.0,180.0
0.26,180.0,180.0
0.262,180.0,180.0
0.264,180.0,180.0
0.266,180.0,180.0
0.268,180.0,180.0
0.27,180.0,180.0
0.272,180.0,180.0
0.274,180.0,180.0
0.276,180.0,180.0
0.278,180.0,180.0
0.28,180.0,180.0
0.282,180.0,180.0
0.284,180.0,180.0
0.286,180.0,180.0
0.288,180.0,180.0
0.29,180.0,180.0
0.292,180.0,180.0
0.294,180.0,180.0
0.296,180.0,180.0
0.298,180.0,180.0
0.3,180.0,180.0
0.302,180.0,180.0
0.304,180.0,180.0
0.306,180.0,180.0
0.308,180.0,180.0
0.31,180.0,180.0
0.312,180.0,180.0
0.314,180.0,180.0
0.316,180.0,180.0
0.318,180.0,180.0
0.32,180.0,180.0
0.322,180.0,180.0
0.324,180.0,180.0
0.326,180.0,180.0
0.328,180.0,180.0
0.33,180.0,180.0
0.332,180.0,180.0
0.334,180.0,180.0
0.336,180.0,180.0
0.338,180.0,180.0
0.34,180.0,180.0
0.342,180.0,180.0
0.344,180.0,180.0
0.346,180.0,180.0
0.348,180.0,180.0
0.35,180.0,180.0
0.352,180.0,180.0
0.354,180.0,180.0
0.356,180.0,180.0
0.358,180.0,180.0
0.36,180.0,180.0
0.362,180.0,180.0
0.364,180.0,180.0
0.366,180.0,180.0
0.368,180.0,180.0
0.37,180.0,180.0
0.372,180.0,180.0
0.374,180.0,180.0
0.376,180.0,180.0
0.378,180.0,180.0
0.38,180.0,180.0
0.382,180.0,180.0
0.384,180.0,180.0
0.386,180.0,180.0
0.388,180.0,180.0
0.39,180.0,180.0
0.392,180.0,180.0
0.394,180.0,180.0
0.396,180.0,180.0
0.398,180.0,180.0
0.4,180.0,180.0
0.402,180.0,180.0
0.404,180.0,180.0
0.406,180.0,180.0
0.408,180.0,180.0
0.41,180.0,180.0
0.412,180.0,180.0
0.414,180.0,180.0
0.416,180.0,180.0
0.418,180.0,180.0
0.42,180.0,180.0
0.422,180.0,180.0
0.424,180.0,180.0
0.426,180.0,180.0
0.428,180.0,180.0
0.43,180.0,180.0
0.432,180.0,180.0
0.434,180.0,180.0
0.436,180.0,180.0
0.438,180.0,180.0
0.44,180.0,180.0
0.442,180.0,180.0
0.444,180.0,180.0
0.446,180.0,180.0
0.448,180.0,180.0
0.45,180.0,180.0
0.452,180.0,180.0
0.454,180.0,180.0
0.456,180.0,180.0
0.458,180.0,180.0
0.46,180.0,180.0
0.462,180.0,180.0
0.464,180.0,180.0
0.466,180.0,180.0
0.468,180.0,180.0
0.47,180.0,180.0
0.472,180.0,180.0
0.474,180.0,180.0
0.476,180.0,180.0
0.478,180.0,180.0
0.48,180.0,180.0
0.482,180.0,180.0
0.484,180.0,180.0
0.486,180.0,180.0
0.488,180.0,180.0
0.49,180.0,180.0
0.492,180.0,180.0
0.494,180.0,180.0
0.496,180.0,180.0
0.498,180.0,180.0
0.5,180.0,180.0
0.502,180.0,180.0
0.504,180.0,180.0
0.506,180.0,180.0
0.508,180.0,180.0
0.51,180.0,180.0
0.512,180.0,180.0
0.514,180.0,180.0
0.516,180.0,180.0
0.518,180.0,180.0
0.52,180.0,180.0
0.522,180.0,180.0
0.524,180.0,180.0
0.526,180.0,180.0
0.528,180.0,180.0
0.53,180.0,180.0
0.532,180.0,180.0
0.534,180.0,180.0
0.536,180.0,180.0
0.538,180.0,180.0
0.54,180.0,180.0
0.542,180.0,180.0
0.544,180.0,180.0
0.546,180.0,180.0
0.548,180.0,180.0
0.55,180.0,180.0
0.552,180.0,180.0
0.554,180.0,180.0
0.556,180.0,180.0
0.558,180.0,180.0
0.56,180.0,180.0
0.562,180.0,180.0
0.5640000000000001,180.0,180.0
0.5660000000000001,180.0,180.0
0.5680000000000001,180.0,180.0
0.5700000000000001,180.0,180.0
0.5720000000000001,180.0,180.0
0.5740000000000001,180.0,180.0
0.5760000000000001,180.0,180.0
0.578,180.0,180.0
0.58,180.0,180.0
0.582,180.0,180.0
0.584,180.0,180.0
0.586,180.0,180.0
0.588,180.0,180.0
0.59,180.0,180.0
0.592,180.0,180.0
0.594,180.0,180.0
0.596,180.0,180.0
0.598,180.0,180.0
0.6,180.0,180.0
0.602,180.0,180.0
0.604,180.0,180.0
0.606,180.0,180.0
0.608,180.0,180.0
0.61,180.0,180.0
0.612,180.0,180.0
0.614,180.0,180.0
0.616,180.0,180.0
0.618,180.0,180.0
0.62,180.0,180.0
0.622,180.0,180.0
0.624,180.0,180.0
0.626,180.0,180.0
0.628,180.0,180.0
0.63,180.0,180.0
0.632,180.0,180.0
0.634,180.0,180.0
0.636,180.0,180.0
0.638,180.0,180.0
0.64,180.0,180.0
0.642,180.0,180.0
0.644,180.0,180.0
0.646,180.0,180.0
0.648,180.0,180.0
0.65,180.0,180.0
0.652,180.0,180.0
0.654,180.0,180.0
0.656,180.0,180.0
0.658,180.0,180.0
0.66,180.0,180.0
0.662,180.0,180.0
0.664,180.0,180.0
0.666,180.0,180.0
0.668,180.0,180.0
0.67,180.0,180.0
